stat,applies_to,observed_range,description
fitness,animal,20–100,"Combat hit-points for the creature. Higher = harder to kill or subdue in a fight. Does not affect player's fitness directly except through combat damage."
size,animal,0.8–60,"Relative body mass in dimensionless units. Affects the food energy yielded if killed (larger = more food), and feeds combat calculations. Largest: coryphodon (42), groundCarnivore (55), crocodile (60)."
speed,animal,10–90,"Movement speed 0–100. Used in flee and catch rolls. High speed (80+) makes the creature very hard to escape from or catch: eagle 85, groundCarnivore 82, hummingbird 90."
agility,animal,10–95,"Evasion 0–100. Higher agility makes attack rolls less likely to succeed. Hummingbird 95, climbingHunter 86 are the highest."
aggression,animal,0–94,"Attack drive 0–100. Determines how frequently the creature initiates unprovoked attacks and pursues the player. groundCarnivore 94, bergisuchus 85, climbingHunter 86."
food,animal,3–180,"Energy granted when the animal is killed and consumed (raw value before modifiers). Ranges from tiny insects (plantHopper 5) to megafauna (crocodile 180, coryphodon 135)."
portions,forage|carcass|remedy,1–5,"Number of times the resource can be consumed before it is exhausted. Most forageables offer 1–3; large carcass offers 5."
energy,forage|carcass|remedy|nest,0–24,"Energy granted per portion consumed. Water resources return 0 energy (hydration only). custardAppleFruit and canopyFruit offer the highest at 20."
hydration,forage,0–35,"Hydration restored per portion. rainPuddle offers 30, bromeliadPool 35. Absent on most food items (default 0)."
eggs,nest,2–4,"Number of egg portions available in the nest. birdNest 2, largeGroundNest and waspNest 3, beehive and termiteMound 4."
attraction,carcass,18–40,"Scavenger-draw intensity. Higher values increase the risk of predator attention while the player feeds. smallCarcass 20, predatorLeftovers 22, largeCarcass 38."
rotRisk,carcass,8–12,"Per-visit probability 0–100 that the carcass degrades to inedible. smallCarcass 8, largeCarcass 12."
guardianChance,nest,30–42,"Probability 0–100 that the guardian spawns when the nest is disturbed. antNest 30, termiteMound 32, waspNest (no guardian), largeGroundNest 42."
layers (spawn chance),all,0.004–0.070,"Base probability per turn that a random encounter roll selects this creature in a given layer. Modified at runtime by weather, habitat danger, time-of-day, and ecological-cycle modifiers. The highest values are common invertebrates and forageables (smallBird 0.055 in Canopy); the lowest are apex predators (climbingHunter 0.001 in Canopy)."
poison.rank,all,1–5,"Toxin severity rank. Rank 1 = mild irritant; rank 5 = immediately lethal. Rank feeds damage-per-turn and the urgency of the warning message."
poison.turns,all,2–7,"Duration of the poison effect in turns. Shorter on contact irritants; longer on systemic toxins."
poison.damage,all,1–12,"Fitness damage applied each turn while poisoned. Ranges from 1 (mild irritant) to 12 (pitviper venom)."
poison.criticalTimer,all,5–7,"Turns the player has to find a remedy before a lethal poison becomes fatal. Present only when poison.lethal is true."
subtypes[].weight,all,3–70,"Relative weight within the hidden-subtype pool. Higher weight = more likely to be selected. Weights do not need to sum to any fixed value; selection is proportional."
